sender,content
arnold-j,soblander pm john arnold subject dinner thursday night
arnold-j,karen arnold klarnold pm john arnold hou ect matthew arnold hou ect subject
arnold-j,chris abel pm mike grigsby hou ect john arnold hou ect frank hayden enron kenneth thibodeaux enron shona wilson na enron subject loss limit notification april th th
arnold-j,brian hoskins communications pm john arnold hou ect subject
arnold-j,jennifer white jenwhite pm john arnold subject ny hotels
arnold-j,sheetal patel pm john arnold hou ect mike maggi corp enron charles h otto hou ect subject offers
arnold-j,john arnold hou ect subject ng expiry
arnold-j,get number contact delano personal favor ask john
arnold-j,john j lavorato enron sent kimberly hillis enron phillip k allen hou ect w david duran hou ect joseph deffner enron brian redmond hou ect colleen sullivan hou ect mike grigsby hou ect mike swerzbin hou ect john arnold hou ect kevin presto hou ect hunter shively hou ect fletcher j sturm hou ect rogers herndon hou ect barry tycholiz na enron dana davis enron fred lagrasta hou ect thomas martin hou ect scott neal hou ect edward baughman enron harry arora enron miller hou ect ozzie pagan enron michael l miller na enron richard lydecker corp enron jim schwieger hou ect carl tricoli corp enron frank w vickers na enron mark whitt na enron ed mcmichael hou ect jesse neyman hou ect greg blair corp enron douglas clifford ny ect michael j miller enron communications communications allan keel enron scott josey enron bruce sukaly enron julie gomez hou ect jean mrha na enron c john thompson enron steve pruett enron gil muhl corp enron michelle parks enron brad alford na enron robert greer hou ect louise kitchen hou ect tammie schoppe hou ect subject astro baseball season tickets
arnold-j,margaret allen pm john arnold hou ect subject last night
arnold-j,jennifer white jenwhite john arnold subject tonight
arnold-j,john arnold hou ect subject
arnold-j,mancino joseph ny int jmancino jarnold jarnold subject access trades
arnold-j,zerilli frank fzerilli jarnold jarnold subject concord crash
arnold-j,john arnold hou ect subject
arnold-j,sure ever bon coupe knock till tou try
arnold-j,john
arnold-j,jennifer fraser enron john arnold hou ect subject
arnold-j,david p dupre pm errol mclaughlin corp enron dutch quigley hou ect mike maggi corp enron john arnold hou ect subject new role
arnold-j,david forster john arnold hou ect subject hehub basis sep
arnold-j,websupport websupport john arnold john arnold subject portfolio jennifer arnold mon may
arnold-j,slafontaine pm john arnold subject weather pop
arnold-j,fletcher j sturm hou ect john arnold hou ect subject stress testing
arnold-j,lengkeek jr steve c steve c lengkeekjr john arnold john arnold subject swaps efps
arnold-j,john j lavorato corp enron john arnold hou ect mike maggi corp enron larry may corp enron subject greetings garp mark calendars
arnold-j,eva pao epao pm please respond epao john arnold subject defense
arnold-j,margaret allen pm john arnold hou ect subject screen shots
arnold-j,jennifer fraser enron john arnold hou ect subject fundamentals thought dimensions
arnold-j,idea vacation
arnold-j,jennifer fraser enron pm john arnold hou ect subject ng
arnold-j,please understand basis developing account paine webber dependent upon agressive fee structure want see market returns compromised high fees thanks john
arnold-j,hello wanted arrange meet astros tickets work live downtown cell phone number thanks john
arnold-j,john arnold hou ect subject ng year end quiz
arnold-j,john arnold hou ect john j lavorato corp enron frank hayden sunil dalal corp enron vladimir gorny hou ect subject
arnold-j,slafontaine pm john arnold subject diff topic
arnold-j,tickets requisitioned england germany
arnold-j,caroline abramo john arnold hou ect subject thanks follow
arnold-j,margaret allen pm john arnold hou ect subject
arnold-j,jennifer fraser enron john arnold hou ect subject
arnold-j,errol mclaughlin john arnold hou ect subject sherry
arnold-j,john arnold hou ect tanya tamarchenko hou ect frank hayden corp enron subject forward forward vol
arnold-j,slafontaine john arnold subject utilites
arnold-j,crumbling sharon scrumbling pm john arnold john arnold david p dupre david p dupre cheryl aruijo cheryl aruijo amiles amiles molly hellerman molly hellerman jtrask jtrask jennifer baker jennifer baker cheryl collins cheryl collins eduardo bonitos eduardo bonitos elizabeth lauterbach elizabeth lauterbach chris herron chris herron randall hicks randall hicks andrew willis andrew willis susan scott susan scott power shelly spower subject volunteer tutor program
arnold-j,brian hoskins communications john arnold hou ect fangming zhu corp enron subject
arnold-j,john arnold hou ect fletcher j sturm hou ect kevin presto hou ect mark dana davis hou ect rogers herndon hou ect john j lavorato corp enron david w delainey hou ect greg whalley hou ect ina rangel hou ect kay chapman hou ect felicia doan hou ect tamara jae black hou ect airam arteaga hou ect jessica ramirez hou ect subject nigel patterson
arnold-j,john arnold hou ect subject
arnold-j,tom wilbeck enron pm john arnold hou ect hunter shively hou ect phillip k allen hou ect subject technical help interviewing traders
arnold-j,margaret allen pm john arnold hou ect subject
arnold-j,vlade heard back schedule changing var process please reply john
arnold-j,get lost
arnold-j,michael gapinski michael gapinski john arnold john arnold rafael herrera rafael herrera subject buying back calls
arnold-j,zerilli frank fzerilli jarnold jarnold subject concord crash
arnold-j,john
arnold-j,call town weeekend
arnold-j,mark sagel msagel pm john arnold jarnold subject natural update
arnold-j,slafontaine jarnold subject mkts
arnold-j,john arnold hou ect subject pira annual seminar preview
arnold-j,john arnold hou ect subject
arnold-j,world sports exchange wsx please respond wsx jarnold subject subject
arnold-j,john
arnold-j,eva pao epao pm please respond epao john arnold subject waiting
arnold-j,eric passed customer jennifer fraser fred lagrasta please coordinate thanks john
arnold-j,jennifer white jenwhite pm john arnold subject
arnold-j,matthew arnold pm john arnold hou ect subject good
arnold-j,ps bowl
arnold-j,split connect
arnold-j,cacio p carvalho cacio pm please respond cacio john arnold subject super brazil
arnold-j,thanks john
arnold-j,ted lavorato wanted check var extension possible get extended indefinitely west basis market settles good percentage west position rolling next week well indices get published please advise asap john
arnold-j,andy new version eol coming soon waiting put new products comes john
arnold-j,hey interest king biscuit work
arnold-j,separate portfolios trying check var numbers make logical sense thanks john
arnold-j,slafontaine jarnold subject silverman
arnold-j,exactly knight columbus
arnold-j,gapinski michael michael gapinski john arnold john arnold herrera rafael j rafael herrera subject receipt hedge fund information
arnold-j,wanna get sauced work
arnold-j,bayer adam ryan adam r bayer pm john arnold subject thank dinner last night
arnold-j,taken finance courses yet good
arnold-j,hey wanted see anything tonight interest getting dinner john
arnold-j,john j lavorato john arnold hou ect subject
arnold-j,one problem linking syncopated basis products set new product prompt nov gd henry hub syncopated basis nov nymex however since dec nymex syncopated basis nov nymex could set syncopated basis link around dec nymex ideas
arnold-j,slafontaine pm john arnold subject power gen
arnold-j,hey hon great time last night one ok chick john
arnold-j,fyi jan red jan trading sep
arnold-j,jennifer milligan john arnold hou ect subject stock option grant agreement
arnold-j,slafontaine jarnold subject h j
arnold-j,john arnold hou ect subject fw trading
arnold-j,cliff tix black crowes third row center office come say hello afternoon minute john
arnold-j,john j lavorato enron john arnold hou ect subject
arnold-j,jfk jfk jarnold subject yahoo sports tournament pick em
arnold-j,eleanor fraser efraser pm john arnold subject
arnold-j,pesot jeff jeff pesot pm jarnold jarnold subject
arnold-j,liz taylor john arnold hou ect subject
arnold-j,liz taylor john arnold hou ect subject destiny child
arnold-j,john arnold hou ect subject new counterparty transaction
arnold-j,going call another eol meeting everyone gas floor managing product week purpose communicate importance winning electronic commerce game combination improving ways killing broker markets
arnold-j,open eol monday everyone trading pleasure
arnold-j,john arnold hou ect subject apis
arnold-j,pleas approve tricia request become authorized eol trader
arnold-j,eva pao epao pm please respond epao john arnold subject
arnold-j,ina rangel john arnold hou ect subject miami
arnold-j,james naughton pm john arnold john arnold subject
arnold-j,caroline abramo john arnold hou ect subject today
arnold-j,liz taylor pm john arnold hou ect subject als charity time collect
arnold-j,mark sagel msagel john arnold jarnold subject advisory invoice
arnold-j,gary checking see trader roundtable includes us gas boys would certainly interested attending john
arnold-j,herve duteil john arnold subject henry hub instead nymex
arnold-j,jennifer white jenwhite john arnold subject
arnold-j,jennifer fraser enron pm john arnold hou ect subject reminder pira dinner sund may th pm st regis
arnold-j,hello able pull link short term outlook natural gas please make sure link updates thanks john
arnold-j,jennifer fraser enron pm john arnold hou ect subject broker relationships
arnold-j,jobopps pm jarnold subject job opportunities idrc
arnold-j,dinner tonite birthday boy
arnold-j,put notice eol due mlk day closed sunday offering nymex products monday thanks john
arnold-j,andy couple quick items need addressed first happens delta option greater size hedge offered eol second strike straddles traded set nearest cent interval mid market eol quote
arnold-j,monbousquet
arnold-j,arnolds worldwide notoriety surprise
arnold-j,mark sagel msagel pm john arnold jarnold subject natural update
arnold-j,ina rangel pm john arnold hou ect mike maggi corp enron larry may corp enron dutch quigley hou ect craig breslau hou ect phillip k allen hou ect mike grigsby hou ect keith holst hou ect frank ermis hou ect steven p south hou ect jane tholt hou ect monique sanchez hou ect tori kuykendall hou ect matthew lenhart hou ect kenneth shulklapper hou ect jay reitmeyer hou ect subject important eol data
arnold-j,gregory carraway pm john arnold hou ect subject
arnold-j,karen arnold klarnold pm john arnold subject wine spectator
arnold-j,slafontaine john arnold subject hub cash
arnold-j,eva pao epao pm please respond epao jarnold subject try one
arnold-j,andy tried open eol sunday systems problems delayed opening third time four five sessions eol problems sunday anything improve reliability would appreciated john
arnold-j,john arnold hou ect subject
arnold-j,sales pm jarnold subject cortlandt wines spirits invoice thank order
arnold-j,jennifer white jenwhite john arnold subject happens la strada stays la strada
arnold-j,see attached file stripmatrix pdf see attached file ngas pdf see attached file crude pdf stripmatrix pdf ngas pdf crude pdf
arnold-j,john j lavorato enron phillip k allen hou ect john arnold hou ect harry arora enron berney c aucoin hou ect edward baughman enron tim belden enron christopher f calger enron derek davies cal ect mark dana davis hou ect joseph deffner enron paul devries tor ect w david duran hou ect chris h foster enron chris gaskill enron doug gilbert smith corp enron rogers herndon hou ect ben jacoby hou ect scott josey enron kyle kitagawa cal ect fred lagrasta enron john j lavorato enron eric ledain cal ect laura luce corp enron thomas martin enron jonathan mckay cal ect ed mcmichael hou ect miller enron michael l miller enron rob milnthorp cal ect jean mrha enron scott neal hou ect david parquet sf ect kevin presto hou ect brian redmond enron hunter shively enron fletcher j sturm hou ect swerzbin mike mike swerzbin c john thompson enron carl tricoli corp enron barry tycholiz na enron frank w vickers na enron lloyd hou ect greg wolfe enron max yzaguirre na enron john zufferli cal ect subject
arnold-j,john please call lavorato secretary kim schedule time talk john asap thanks john
arnold-j,flash asf
arnold-j,jennifer fraser enron pm john arnold hou ect alex mcleish eu enron richard lassander enron subject incremental fuel switching distillate summer estimate
arnold-j,lyle lovett national anthem nolan ryan first pitch dwight gooden first real pitch
arnold-j,jennifer white jenwhite pm john arnold subject come ye fabulous
arnold-j,john j lavorato john arnold hou ect subject
arnold-j,gencheva daniela genchedi jarnold jarnold liszewski pete liszewsp subject deal
arnold-j,andy zipper pm john arnold hou ect mike maggi corp enron subject commissions saved
arnold-j,please advise john
arnold-j,please use vol curve dry run figure var book ng price jim book storage communicate results thanks john
arnold-j,thanks jennifer
arnold-j,dave printout today children product thanks john
arnold-j,john j lavorato pm john arnold hou ect subject
arnold-j,mind go boys work tonight
arnold-j,john arnold hou ect subject end year
arnold-j,jennifer shipos pm john arnold subject
arnold-j,eva pao epao pm please respond epao john arnold subject constellation
arnold-j,john arnold hou ect frank hayden corp enron subject
arnold-j,slafontaine pm jarnold subject aug sep
arnold-j,margaret allen pm john arnold hou ect subject guggenheim museum
arnold-j,john arnold hou ect subject hey
arnold-j,brian hoskins communications john arnold hou ect subject implementation issue ie
arnold-j,slafontaine john arnold subject cash mkts
arnold-j,jennifer white jenwhite john arnold subject continental delta article
arnold-j,jeff regards antitrust training please schedule least one sessions starts later ensure participation thanks john
arnold-j,rory mccauley rory mcauley pm jarnold jarnold subject enjoy bud
arnold-j,stephanie please set mike maggi trding intercontinental exch thanks john
arnold-j,eleanor fraser efraser pm john arnold subject
arnold-j,jennifer shipos pm john arnold hou ect subject happy hour
arnold-j,piasio stephen fi stephen piasio pm jarnold jarnold subject credit facility
arnold-j,angelica paez ampaez pm jarnold subject girlie magazines
arnold-j,john arnold hou ect vladimir gorny hou ect minal dalia hou ect sunil dalal corp enron subject option analysis ng price book
arnold-j,greg whalley pm sent liz taylor john arnold hou ect subject greg bill
arnold-j,margaret allen john arnold hou ect subject
arnold-j,jean think location talked actually better area towards edge building borders northeast gas group long term originators mid market orig group exactly need around location center much closer east gulf group specifically sandra distance central texas trading groups importantly provides room group trading group expand call want talk thanks article john
arnold-j,john arnold hou ect subject
arnold-j,herve duteil john arnold subject henry hub instead nymex
arnold-j,john arnold hou ect subject gas org chart
arnold-j,ina rangel pm john arnold hou ect subject question
arnold-j,margaret allen pm john arnold hou ect subject commercials
arnold-j,wow week far beauty short squeeze early even biggest bears know covering reestablish market lost upward momentum unfortunately boat big play way takes long put size position manage play game sit back take lumps couldnt bearish aga opinion got one decent one watch amazing demand destruction recently economy pound gorilla sitting nat gas aint getting
arnold-j,ina rangel pm john arnold hou ect subject gas message board
arnold-j,zerilli frank fzerilli pm kelly joseph jkelly marcotte tom tmarcotte lynch justin jlynch fioriello john jfioriello dennis robert rdennis glynn kevin kglynn leo andre aleo sergides melissa msergides bill horton e mail bhorton lew g williams e mail lew g williams lew g williams e mail bak texas christine zerilli e mail christine zerilli sharon c zerilli e mail szerilli stacey dave hoey e mail sah jeannine rob votruba e mail votruba pat creem e mail pcreem josh faber e mail joshfaber jason alessandro e mail jsd david alessandro e mail ddalessa eric carlstrom e mail eric carlstrom sean jacobs e mail jakey jarnold jarnold subject baby
arnold-j,due var reasons need sell today vol price going implying enron carry fewer contracts today friday desk net sell today john
arnold-j,hello despite thoughts like baseball question like art musuems leaning towards yes know sure
arnold-j,slafontaine pm john arnold subject v x
arnold-j,spoke vlady afternoon regarding alternative var methodologies think changing riskmetrics historical var system defendable objective provide consistent results create realistic results understand vince similar opinion john
arnold-j,john j lavorato enron pm john arnold hou ect subject
arnold-j,margaret allen john arnold hou ect subject guggenheim museum
arnold-j,sarah wesner pm john arnold hou ect subject margin lines project
arnold-j,mary cook sarah wesner corp enron john arnold hou ect subject soc gen
arnold-j,sarah wesner enron pm john arnold hou ect subject fimat
arnold-j,meet today
arnold-j,andy zipper pm john arnold hou ect subject houston street
arnold-j,slafontaine john arnold subject silverman
arnold-j,jennifer white jenwhite pm john arnold subject good morning
arnold-j,kim ward enron john arnold hou ect subject
arnold-j,slafontaine pm john arnold subject scs daily volatility report
arnold-j,john arnold hou ect john griffith corp enron subject smud deal asian options
arnold-j,sandra delgado sdelgado vitoltvl pm john arnold subject apr houston new york jennifer white ticketed
arnold-j,sec row
arnold-j,john arnold hou ect subject gas team reorg
arnold-j,ina change meeting sheriff boys tueday monday also stick thedistribution enron press pack articles enron mentioned thanks
arnold-j,rick curry rgcurry pm jennifer stewart arnold jarnold subject mexico industrial
arnold-j,caroline abramo john arnold hou ect mike maggi corp enron subject sunrise capital
arnold-j,ina rangel john arnold hou ect subject john arnold pc
arnold-j,jennifer fraser enron pm john arnold hou ect subject please fill lost scrap paper
arnold-j,greg guy mg spoke clearing alfred pennisi vp operations ny indicated clearing costs versus paying
arnold-j,hey podner buying dinner tonight
arnold-j,jennifer shipos pm john arnold subject
arnold-j,sarah wesner pm john arnold hou ect subject edf trades switched abn
arnold-j,make
arnold-j,larry may john arnold hou ect subject new computer
arnold-j,ed mcmichael john arnold hou ect subject
arnold-j,david p dupre pm john arnold hou ect subject confirm
arnold-j,ina rangel pm john arnold hou ect mike maggi corp enron larry may corp enron jay reitmeyer hou ect kenneth shulklapper hou ect matthew lenhart hou ect paul lucci na enron tori kuykendall hou ect randall l gay hou ect frank ermis hou ect steven p south hou ect jane tholt hou ect monique sanchez hou ect keith holst hou ect phillip k allen hou ect mike grigsby hou ect subject login id needed
arnold-j,adams
arnold-j,kim tix rent sat night waiting call theatre bring id problems call ticket agency fun john
arnold-j,hello recent posting enron bulletin board indicated looking academic tutors may available help nights math please respond details program old kids commitment required etc thanks john arnold
arnold-j,wood neal neal wood john arnold john arnold subject apr mar strip varying monthly volumes
arnold-j,point shown little bit right weather little cooler week overall normal jv cents think customers got totally fucked last year selling rally going buy way differnence last year trade happy take length year trade ready get really short healthy inj april anyways think money made short question think enough hedging demand keep curve strong unless phys market totally rejects price level amount inj capacity available hard believe phys market going dictate prices next couple months think spec hedgers dictating spec staying sidelines right hedgers buying leads upside potential short term point v x jv would strong cal hedging sell side leading pressure spreads california term power sales totally changed thing customers selling cal customer interest much buyside cal solely california turning neutral v x x z valid points like q v though think could cents upside little downside thoughts
arnold-j,web server noticeably slow today getting lot bad failed trades seconds behind change price necessarily slower yesterday definitely slower month ago
arnold-j,john j lavorato john arnold hou ect subject
arnold-j,margaret allen john arnold hou ect subject substantiation eol
arnold-j,piazza perry corp perry piazza pm john arnold john arnold subject still getting involiced deal
arnold-j,hi get subscriptions following magazines economist energy risk management havard business review thanks john
arnold-j,kim may management mtg ny business
arnold-j,view crude next weeks
arnold-j,frank hayden enron geoff storey hou ect john arnold hou ect subject fw rick buy report tomorrow comments needed
arnold-j,john arnold hou ect subject cracks
arnold-j,kenneth thibodeaux john j lavorato corp enron john arnold hou ect frank hayden corp enron subject maturity gap risk limit violation
arnold-j,maine impossible get next idea
arnold-j,zerilli frank fzerilli jarnold jarnold subject suicide press conference
arnold-j,slafontaine john arnold subject ecommerce
arnold-j,john arnold hou ect subject larry may revised
arnold-j,please stop sending emails jennifer arnold following email address jarnold wrong person
arnold-j,vince j kaminski pm fletcher j sturm hou ect john arnold hou ect louise kitchen hou ect vince j kaminski hou ect jeffrey shankman hou ect christie patrick hou ect subject tiger team meeting jeff shankman office
arnold-j,lumber
arnold-j,andy zipper enron pm john arnold hou ect subject suspend switch
arnold-j,andy zipper pm john arnold hou ect subject options stuff
arnold-j,really appreciate though
arnold-j,john arnold hou ect subject eloy escobar review
arnold-j,hey thinking ny problem might answer site lists cheap hotel specials problem list wednesday weekend check though reasonable deals john
arnold-j,eric thode john arnold hou ect tim belden hou ect subject electricity natural gas hedging
arnold-j,funny story access cents last night nymex made trading limit unchanged minutes trading unchanged exchange stopped trading hour rappaport exchange president standing make sure everything orderly obviously locals happy exchange closing one yelled rappaport take million dollar bonus go buy enron stock
arnold-j,ina rangel pm john arnold hou ect subject power group
arnold-j,realized old stay til school night
arnold-j,net result f book thanks john
arnold-j,hot like wasabi bust rhymes big like leann rimes value
arnold-j,thanks kevin moore
arnold-j,slafontaine jarnold subject h j k
arnold-j,happy know get car back today
arnold-j,margaret allen john arnold hou ect subject nyc rocks
arnold-j,slafontaine pm slafontaine jarnold subject f g
arnold-j,benjys
arnold-j,andy past weekend released new version eol software unfortunately bug effect lengthen time delay numbers changing would show internet unacceptable level increased number failed trades made decision take volatile products temporarily offline fix could made anticipate concern going forward thanks feedback john arnold
arnold-j,greg correct formula devised profitability last trade mid
arnold-j,matthew arnold pm john arnold hou ect subject dmb
arnold-j,john arnold hou ect tom mcquade hou ect subject wv love story
arnold-j,jennifer shipos pm john arnold hou ect subject
arnold-j,kim ward enron pm john arnold hou ect subject
arnold-j,jennifer fraser enron pm john arnold hou ect subject ng views
arnold-j,margaret allen pm john arnold hou ect subject
arnold-j,jennifer fraser enron john arnold hou ect subject pira
arnold-j,eva pao epao pm please respond epao john arnold subject waiting
arnold-j,karen arnold klarnold pm john arnold subject devon
arnold-j,assuming driving car dallas tomorrow work
arnold-j,pfse pm jeff arnold subject evening
arnold-j,piasio stephen fi stephen piasio jarnold jarnold subject myrtle beach
arnold-j,adams bot
arnold-j,andy zipper pm john arnold hou ect subject commissions saved
arnold-j,free drinks either monday wednesday
arnold-j,margaret allen ann schmidt corp enron john arnold hou ect subject screen shots
arnold-j,slafontaine pm dwight anderson jarnold julian barrowcliffe scipa coxjgc cdownie bob jonke morse leavenworth jlynch gajewsm rick mcconn jason mraz smurray bill overton jpotieno mjw dwolfert wormsb hazagaria subject fw crossroads
arnold-j,checking saturday third eye blind
arnold-j,slafontaine john arnold subject contangos vs winter putspds
arnold-j,john
arnold-j,karen arnold klarnold pm john arnold subject okey dokey
arnold-j,john arnold hou ect dutch quigley hou ect peter f keavey hou ect fletcher j sturm hou ect sean crandall pdx ect robert b cass hou ect savita puthigai na enron subject us spread product
arnold-j,heather robertson hrobertson john arnold subject young john
arnold-j,kathie grabstald pm john arnold hou ect subject enside newsletter
arnold-j,mike want confirm received money forms also checking see set sell naked calls ene may looking something week probably contracts john
arnold-j,lauren urquhart john arnold hou ect subject brother
arnold-j,hey freak finally la type weather past two days highs mid beautiful life cruising along nothing new put bid condo new mid rise building going west u accepted goes expected move next x mas adjusting big city got big hollywood actor boyfriend yet john
arnold-j,david forster pm savita puthigai na enron andy zipper corp enron kal shah hou ect john arnold hou ect subject popup text
arnold-j,looking bubbeh john
arnold-j,jennifer shipos pm john arnold subject vegas
arnold-j,maine impossible get next option
arnold-j,john arnold hou ect subject
arnold-j,mark sagel msagel pm john arnold jarnold subject natural update
arnold-j,alex
arnold-j,slafontaine pm john arnold subject mkts
arnold-j,hello one feature transferred new stack manager sort counterparty product bottom screen position summary sort product counterparty product would useful replace thanks john
arnold-j,rory mccauley rory mcauley pm jarnold jarnold subject enjoy bud
arnold-j,savita
arnold-j,paying stock options
arnold-j,andy zipper john arnold hou ect subject options stuff
arnold-j,john arnold hou ect subject
arnold-j,frank f zerilli fzerilli pm jarnold subject vacation
arnold-j,eric thode john arnold hou ect tim belden hou ect subject electricity natural gas hedging
arnold-j,jennifer fraser enron pm john arnold hou ect subject fw lng weekly update
arnold-j,slafontaine jarnold subject mar apr
arnold-j,john arnold hou ect stephanie sever hou ect subject
arnold-j,john arnold hou ect subject
arnold-j,karen arnold klarnold pm john arnold matthew arnold subject
arnold-j,please approve larry may trader id eol pipe options book us gas thanks john
arnold-j,caroline abramo pm john arnold hou ect mike maggi corp enron subject harvard
arnold-j,tonight
arnold-j,think valid excuse whatever
arnold-j,dinner week free mon wed
arnold-j,may looking sell naked calls soon check would approved sell either expiring somewhere jul jan also sell naked calls tenor one year expire worthless gains get counted lt cap gains
arnold-j,anything new world marketing
arnold-j,jennifer fraser enron john arnold hou ect subject ng views
arnold-j,kim ward enron pm john arnold hou ect subject
arnold-j,position today ok
arnold-j,john arnold hou ect tom mcquade hou ect subject wv love story
arnold-j,eva pao epao pm please respond epao john arnold subject try one
arnold-j,liz diamonds still available tonight game
arnold-j,margaret allen john arnold hou ect subject commercials
arnold-j,bullish thing point moving closer everyone psychological price target everybody dog still short next sellers need producer community saw little week williams hedging barrett transaction wouldnt say thats indicative rest e community short covering rallies get common velocity move slowed significantly good except maybe bid week concern go people want cover shorts selling might feel lot like trying break
arnold-j,j franco wins win loses lose
arnold-j,slafontaine john arnold subject diff topic
arnold-j,john
arnold-j,john arnold hou ect paula harris hou ect subject meeting discuss direct expense plan
arnold-j,john j lavorato enron pm john arnold hou ect subject
arnold-j,hey hope enjoying holidays cell phone call get bored week sorry return call monday big reach cell better yet adios amigos john
arnold-j,jennifer fraser enron pm john arnold hou ect subject ng views wager
arnold-j,margaret allen john arnold hou ect subject
arnold-j,eva pao epao pm please respond epao jarnold subject fw clay christensen speaks wednesday spangler auditorium
arnold-j,ksmalek pm john arnold subject cal
arnold-j,michael gapinski michael gapinski pm arnold john john arnold subject buying back calls
